inst_name,plz,ror_id,dfg_inst_id,federal_state
Goethe-Universität Frankfurt am Main,60323,04cvxnb49,10206,Hessen
Justus-Liebig-Universität Gießen,35390,033eqas34,10208,Hessen
Technische Universität Darmstadt,64289,05n911h24,10210,Hessen
Frobenius-Institut,60323,035f23321,10212,Hessen
Hochschule für Musik und Darstellende Kunst Frankfurt am Main,60322,03c0qqf32,10213,Hessen
Philosophisch-Theologische Hochschule Sankt Georgen,60599,01x84xc38,10214,Hessen
Frankfurt University of Applied Sciences,60318,02r625m11,10215,Hessen
Hochschule Darmstadt,64295,047wbd030,10216,Hessen
Technische Hochschule Mittelhessen,35578,02qdc9985,10217,Hessen
Hochschule Fulda,36037,041bz9r75,10218,Hessen
Max-Planck-Institut für Biophysik,60438,02panr271,10219,Hessen
Max-Planck-Institut für Rechtsgeschichte und Rechtstheorie,60323,00jpzvz45,10220,Hessen
Max-Planck-Institut für Hirnforschung,60438,02h1nk258,10221,Hessen
Max-Planck-Institut für Herz- und Lungenforschung,61231,0165r2y73,10222,Hessen
GSI Helmholtzzentrum für Schwerionenforschung GmbH,64291,02k8cbn47,10224,Hessen
Leibniz-Institut für Friedens- und Konfliktforschung (PRIF),60598,021k10z87,10229,Hessen
Institut für Sozialforschung (IfS) an der Johann Wolfgang Goethe-Universität Frankfurt,60325,,10231,Hessen
Leuphana Universität Lüneburg,21335,02w2y2t16,10232,Niedersachsen
Carl von Ossietzky Universität Oldenburg,26129,033n9gh91,10233,Niedersachsen
Stiftung Universität Hildesheim,31141,02f9det96,10235,Niedersachsen
Georg-August-Universität Göttingen,37073,01y9bpm73,10236,Niedersachsen
Gottfried Wilhelm Leibniz Universität Hannover,30167,0304hq317,10238,Niedersachsen
Technische Universität Braunschweig,38106,010nsgg66,10240,Niedersachsen
Technische Universität Clausthal,38678,04qb8nc58,10242,Niedersachsen
Universität Osnabrück,49074,04qmmjx98,10244,Niedersachsen
"Hochschule für Musik, Theater und Medien Hannover",30175,00x67m532,10246,Niedersachsen
Medizinische Hochschule Hannover (MHH),30625,00f2yqf98,10247,Niedersachsen
Stiftung Tierärztliche Hochschule Hannover,30559,015qjqf64,10249,Niedersachsen
Hochschule für Bildende Künste Braunschweig,38118,03aft2f80,10251,Niedersachsen
Hochschule Hannover,30539,03m2kj587,10252,Niedersachsen
Hochschule für angewandte Wissenschaft und Kunst Hildesheim/Holzminden/Göttingen,31134,00f5q5839,10253,Niedersachsen
Ostfalia Hochschule für angewandte Wissenschaften,38302,01bk10867,10254,Niedersachsen
Hochschule Osnabrück,49076,059vymd37,10255,Niedersachsen
Max-Planck-Institut zur Erforschung multireligiöser und multiethnischer Gesellschaften (MPI-MMG),37073,0080y7t67,10258,Niedersachsen
Max-Planck-Institut für Dynamik und Selbstorganisation (MPIDS),37077,0087djs12,10259,Niedersachsen
Max-Planck-Institut für Sonnensystemforschung (MPS),37077,02j6gm739,10260,Niedersachsen
Fraunhofer-Institut für Toxikologie und Experimentelle Medizin (ITEM),30625,02byjcr11,10261,Niedersachsen
Helmholtz-Zentrum für Infektionsforschung (HZI),38124,03d0p2685,10262,Niedersachsen
Heinrich-Heine-Universität Düsseldorf,40225,024z2rq82,10266,Nordrhein-Westfalen
Universität Münster,48149,00pd74e08,10272,Nordrhein-Westfalen
Technische Universität Dortmund,44227,01k97gp34,10274,Nordrhein-Westfalen
Ruhr-Universität Bochum,44801,04tsk2644,10276,Nordrhein-Westfalen
Universität Paderborn,33098,058kzsd48,10278,Nordrhein-Westfalen
Universität Bielefeld,33615,02hpadn98,10280,Nordrhein-Westfalen
Universität zu Köln,50923,00rcxh774,10282,Nordrhein-Westfalen
Rheinische Friedrich-Wilhelms-Universität Bonn,53113,041nas322,10284,Nordrhein-Westfalen
Bergische Universität Wuppertal,42119,00613ak93,10286,Nordrhein-Westfalen
FernUniversität in Hagen,58097,04tkkr536,10288,Nordrhein-Westfalen
Universität Witten/Herdecke,58313,00yq55g44,10290,Nordrhein-Westfalen
Universität Siegen,57076,02azyry73,10291,Nordrhein-Westfalen
Rheinisch-Westfälische Technische Hochschule Aachen,52062,04xfq0f34,10293,Nordrhein-Westfalen
Institut für Kunststoffverarbeitung (IKV) in Industrie und Handwerk an der RWTH Aachen,52074,,10298,Nordrhein-Westfalen
Folkwang Universität der Künste,45239,03gf02c22,10299,Nordrhein-Westfalen
Kunsthochschule für Medien Köln,50676,00f2wje32,10300,Nordrhein-Westfalen
Deutsche Sporthochschule Köln,50933,0189raq88,10301,Nordrhein-Westfalen
Hochschule Düsseldorf,40476,00ftx0026,10302,Nordrhein-Westfalen
Hochschule Niederrhein,47805,027b9qx26,10303,Nordrhein-Westfalen
Fachhochschule Münster,48149,00pv45a02,10304,Nordrhein-Westfalen
Fachhochschule Dortmund,44139,03dv91853,10305,Nordrhein-Westfalen
Hochschule Bochum,44801,04x02q560,10306,Nordrhein-Westfalen
Hochschule Bielefeld,33619,00edvg943,10308,Nordrhein-Westfalen
Technische Hochschule Köln,50678,014nnvj65,10309,Nordrhein-Westfalen
Fachhochschule Aachen,52066,04tqgg260,10310,Nordrhein-Westfalen
Max-Planck-Institut für Nachhaltige Materialien GmbH (MPI SusMat),40237,01ngpvg12,10311,Nordrhein-Westfalen
Max-Planck-Institut für Stoffwechselforschung,50931,0199g0r92,10312,Nordrhein-Westfalen
Max-Planck-Institut für Pflanzenzüchtungsforschung,50829,044g3zk14,10313,Nordrhein-Westfalen
Max-Planck-Institut für Kohlenforschung,45470,00a7vgh58,10314,Nordrhein-Westfalen
Max-Planck-Institut für Chemische Energiekonversion (CEC),45470,01y9arx16,10315,Nordrhein-Westfalen
Max-Planck-Institut für Radioastronomie,53121,04jvemc39,10316,Nordrhein-Westfalen
Deutsches Zentrum für Luft- und Raumfahrt (DLR),51147,04bwf3e34,10317,Nordrhein-Westfalen
Forschungszentrum Jülich,52428,02nv7yv05,10319,Nordrhein-Westfalen
Universität Trier,54286,02778hg05,10321,Rheinland-Pfalz
Johannes Gutenberg-Universität Mainz,55122,023b0x485,10323,Rheinland-Pfalz
Rheinland-Pfälzische Technische Universität Kaiserslautern-Landau,76829,04zrf7b53,10325,Rheinland-Pfalz
Theologische Fakultät Trier,54296,,10327,Rheinland-Pfalz
Deutsche Universität für Verwaltungswissenschaften Speyer,67346,01d30w739,10328,Rheinland-Pfalz
Hochschule Worms,67549,031ph8d53,10329,Rheinland-Pfalz
Hochschule Kaiserslautern,67659,05dkqa017,10330,Rheinland-Pfalz
Akademie der Wissenschaften und der Literatur Mainz,55131,01kdxra28,10331,Rheinland-Pfalz
Max-Planck-Institut für Chemie (Otto-Hahn-Institut),55128,02f5b7n18,10333,Rheinland-Pfalz
Max-Planck-Institut für Polymerforschung,55128,00sb7hc59,10334,Rheinland-Pfalz
Universität des Saarlandes,66123,01jdpyv68,10335,Saarland
Christian-Albrechts-Universität zu Kiel,24118,04v76ef78,10337,Schleswig-Holstein
GEOMAR Helmholtz-Zentrum für Ozeanforschung Kiel,24148,02h2x0161,10339,Schleswig-Holstein
Fachhochschule Kiel,24149,03q0ab227,10340,Schleswig-Holstein
